appid,name,discount
318130,Doom & Destiny,nan
318260,Supreme: Pizza Empire,nan
318310,Choice of the Deathless,40%
318430,Squishy the Suicidal Pig,0
318570,Hunters Of The Dead,90%
318600,The Flame in the Flood,70%
318680,History in Letters - The Eternal Alchemist,35%
318740,Disney The Princess and the Frog,0
319320,Time Mysteries 3: The Final Enigma,70%
319400,Disney Winnie the Pooh,70%
319430,CHAOS - In the Darkness,0
319480,Odallus: The Dark Call,65%
319740,There Came an Echo,nan
319910,Trine 3: The Artifacts of Power,0
320610,Questerium: Sinister Trinity HD Collector's Edition,nan
320670,Season Match 3 - Curse of the Witch Crow,90%
321150,Melissa K. and the Heart of Gold Collector's Edition,90%
321190,Cho Dengeki Stryker All Ages Version,nan
321490,MotoGP™14 Compact,nan
321870,Silence of the Sleep,86%
321880,Aveyond 3-3: The Lost Orb,0
321890,Aveyond 3-4: The Darkthrop Prophecy,0
322300,The Repopulation,nan
322430,Bubonic: Outbreak,nan
322900,"War, the Game",0
323720,Decay: The Mare,80%
324090,Football Club Simulator - FCS NS#19,nan
324160,CLANNAD,nan
324730,Caverns of the Snow Witch (Standalone),nan
325110,Save the Furries,70%
325120,Notch - The Innocent LunA: Eclipsed SinnerS,65%
325320,Mythos: The Beginning - Director's Cut,0
325470,1953: NATO vs Warsaw Pact,nan
326110,Defenders of the Last Colony,0
326650,The Legend of Candlewind: Nights & Candles,nan
327370,Brink of Consciousness: The Lonely Hearts Murders,60%
327440,Hail to the King: Deathbat,0
327450,Ballads of Reemus: When the Bed Bites,0
327650,May’s Mysteries: The Secret of Dragonville,50%
327950,Sword of the Samurai,75%
327960,Journey of the King,0
327980,Dragon Fantasy: The Volumes of Westeria,0
328000,Dragon Fantasy: The Black Tome of Ice,50%
328270,Leviathan: The Last Day of the Decade,90%
328430,Rex Nebular and the Cosmic Gender Bender,75%
328500,Potatoman Seeks the Troof,60%
328550,Thieves' Gambit: The Curse of the Black Cat,34%
328650,Knight of the Hamsters,0
328880,Space Legends: At the Edge of the Universe,50%
328900,B-17 Flying Fortress: The Mighty 8th,75%
328930,Fleet Defender: The F-14 Tomcat Simulation,75%
329040,Dungeon Kingdom: Sign of the Moon,12%
329620,Across the Rhine,75%
329680,Task Force 1942: Surface Naval Action in the South Pacific,75%
330180,Pix the Cat,85%
330420,The Interactive Adventures of Dog Mendonça & Pizzaboy®,nan
330470,Over The Void,50%
330520,Tail Drift,nan
330830,Tales from the Borderlands,0
331460,Rooms: The Unsolvable Puzzle,0
331970,Disney's Treasure Planet: Battle of Procyon,nan
332630,The Guilt and the Shadow,75%
332700,Mike was Сursed,nan
333120,Inside The Gear,75%
333250,Forward to the Sky,85%
333330,Song of the Myrne: What Lies Beneath,50%
333340,Star Rangers™ XE,nan
333390,Tales of Aravorn: Seasons Of The Wolf,66%
334420,Out There: Ω Edition,nan
334480,Robinson Crusoe and the Cursed Pirates,66%
334850,1931: Scheherazade at the Library of Pergamum,75%
335120,Serpent in the Staglands,69%
335300,DARK SOULS™ II: Scholar of the First Sin,75%
335420,ルナティックドーン 前途への道標,nan
335450,Curse of the Assassin,80%
335690,dUpLicity ~Beyond the Lies~,70%
336010,MXGP - The Official Motocross Videogame Compact,nan
336060,Raptor: Call of The Shadows - 2015 Edition,70%
336780,Pilot Brothers 3: Back Side of the Earth,nan
337070,"Dimmdrive :: Gaming Ramdrive @ 10,000+ MB/s",nan
337150,Sentinels of the Multiverse,90%
337320,Paint the Town Red,35%
337680,Star Hammer: The Vanguard Prophecy,75%
337700,SCS deORBIT,nan
