index,appid,name,release_date,english,developer,publisher,required_age,achievements,total_ratings,ratingpc,price,discount,discount_bin,windows,linux,mac,cat_Multi-player,cat_Online Multi-Player,cat_Single-player,cat_Steam Cloud,cat_Steam Achievements,cat_Steam Trading Cards,cat_Partial Controller Support,cat_Stats,cat_Co-op,cat_Full controller support,cat_Steam Leaderboards,cat_Shared/Split Screen,gen_Action,gen_Adventure,gen_Indie,gen_Strategy,gen_RPG,gen_Simulation,gen_Casual,gen_Early Access,all_time_peak,may_19_av,may_19_peak,jun_19_av,jun_19_peak,jul_19_av,may_jun_avuplift,may_jun_avupliftpc,jun_jul_avuplift,jun_jul_avupliftpc
4873,359450,In Space We Brawl,2015-07-17,1,Forge Reply srl,AGM PLAYISM,0,1,21,0.6666666666666666,2.89,55.0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,5.0,0.06,1.0,0.05,1.0,0.02,-0.009999999999999995,-0.1666666666666666,-0.030000000000000002,-0.6
4874,359550,Tom Clancy's Rainbow Six® Siege,2015-12-01,1,Ubisoft Montreal,Ubisoft,0,0,310798,0.8081712237530486,16.99,0.0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,176208.0,59172.09,115381.0,78059.34,140274.0,77411.07,18887.25,0.319191869004458,-648.2699999999895,-0.0083048357826237
4875,359560,Shutter,2015-04-02,1,Cosmic Logic,Cosmic Logic,0,1,171,0.7719298245614035,1.59,0.0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,71.0,0.02,1.0,0.06,2.0,0.03,0.039999999999999994,1.9999999999999996,-0.03,-0.5
4876,359580,Uncanny Valley,2015-04-23,1,Cowardly Creations,Cowardly Creations,0,1,427,0.6088992974238876,6.99,90.0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,63.0,0.43,4.0,0.44,5.0,0.51,0.010000000000000009,0.023255813953488393,0.07,0.15909090909090912
4877,359600,Assassin’s Creed® Chronicles: Russia,2016-02-09,1,Climax Studios,Ubisoft Entertainment,16,0,444,0.6238738738738738,8.59,66.0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,54.0,3.07,11.0,2.72,10.0,3.85,-0.34999999999999964,-0.11400651465798034,1.13,0.41544117647058815
4878,359620,Call of Cthulhu: Prisoner of Ice,2015-11-04,1,Infogrames,Atari,0,0,37,0.7297297297297297,4.79,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0,0.07,2.0,0.1,2.0,0.1,0.03,0.4285714285714285,0.0,0.0
4879,359630,Independence War® 2: Edge of Chaos,2015-05-07,1,Particle Systems Ltd.,Atari,0,0,40,0.725,4.79,60.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.0,0.27,3.0,0.47,3.0,0.38,0.19999999999999996,0.7407407407407405,-0.08999999999999997,-0.1914893617021276
4880,359650,Star Trek™ : 25th Anniversary,2015-05-07,1,Interplay Entertainment Corp.,Interplay Entertainment Corp.,0,0,73,0.9315068493150684,6.99,50.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,19.0,0.31,3.0,0.48,4.0,0.59,0.16999999999999998,0.5483870967741935,0.10999999999999999,0.22916666666666666
4881,359670,Vagrant Hearts 2,2015-05-20,1,Warfare Studios,Warfare Studios,0,1,14,0.6428571428571429,6.99,90.0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,6.0,0.06,2.0,0.06,1.0,0.19,0.0,0.0,0.13,2.166666666666667
4882,359810,Hare In The Hat,2015-04-01,1,RunServer,RunServer,0,1,342,0.6900584795321637,1.59,70.0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,568.0,0.21,3.0,0.31,3.0,0.31,0.1,0.4761904761904762,0.0,0.0
4883,359840,Shift Happens,2017-02-22,1,Klonk Games,Klonk Games;Deck13;FFF Bayern,0,1,248,0.9032258064516129,10.99,60.0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,79.0,3.47,17.0,4.35,27.0,6.81,0.8799999999999994,0.25360230547550416,2.46,0.5655172413793104
4884,359870,FINAL FANTASY X/X-2 HD Remaster,2016-05-12,1,Square Enix,Square Enix,12,1,7057,0.8975485333711208,19.99,20.0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13247.0,513.59,938.0,480.5,835.0,494.81,-33.09000000000003,-0.06442882454876464,14.310000000000002,0.029781477627471388
4885,359900,The Incredible Adventures of Van Helsing III,2015-05-22,1,NeocoreGames,NeocoreGames,0,1,668,0.5793413173652695,10.99,90.0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,895.0,2.94,11.0,59.41,251.0,16.43,56.47,19.207482993197278,-42.98,-0.7234472311058744
4886,359920,Highlands,2015-04-21,1,Burrito Studio,Burrito Studio,0,1,214,0.8177570093457944,3.99,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,40.0,0.25,3.0,0.2,2.0,0.23,-0.04999999999999999,-0.19999999999999996,0.03,0.15
4887,359940,Shadows Peak,2017-03-13,1,Andrii Vintsevych,Andrii Vintsevych,0,1,201,0.6915422885572139,7.19,68.0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,20.0,0.27,4.0,0.35,3.0,0.47,0.07999999999999996,0.2962962962962961,0.12,0.34285714285714286
4888,359960,Choice Chamber,2015-07-16,1,Studio Bean,Studio Bean,0,1,204,0.696078431372549,6.99,65.0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,131.0,1.08,5.0,1.23,6.0,1.39,0.1499999999999999,0.13888888888888878,0.15999999999999992,0.13008130081300806
4889,360010,Remnants Of Isolation,2015-05-01,1,Team Isolation,Degica,0,1,72,0.8611111111111112,1.59,75.0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,47.0,0.25,4.0,0.2,2.0,0.35,-0.04999999999999999,-0.19999999999999996,0.14999999999999997,0.7499999999999998
4890,360030,XLarn,2015-05-25,1,Swinfjord-Games,Swinfjord-Games,0,1,24,0.6666666666666666,3.99,45.0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,17.0,0.09,2.0,0.32,3.0,0.74,0.23,2.555555555555556,0.42,1.3125
4891,360040,Our Nation's Miner,2015-12-22,1,Lord Bytesworth,Lord Bytesworth,0,0,28,0.5,4.79,0.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,39.0,0.01,1.0,0.01,1.0,0.07,0.0,0.0,0.060000000000000005,6.0
4892,360150,How To Survive: Third Person Standalone,2015-07-02,1,Eko Software,505 Games,0,1,1141,0.5539000876424189,6.99,90.0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,667.0,2.25,11.0,3.76,17.0,2.07,1.5099999999999998,0.671111111111111,-1.69,-0.449468085106383
4893,360170,How to Survive 2,2016-09-08,1,Eko Software,505 Games,0,1,8294,0.7020737882806848,10.99,75.0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,2823.0,109.25,423.0,130.78,374.0,128.74,21.53,0.197070938215103,-2.039999999999992,-0.015598715399908182
4894,360380,Tiny Bridge: Ratventure,2015-05-08,1,Estelion,EQ Games,0,1,867,0.6632064590542099,1.59,75.0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,732.0,2.76,72.0,2.59,63.0,1.06,-0.16999999999999993,-0.06159420289855071,-1.5299999999999998,-0.5907335907335907
4895,360390,Nightside,2015-08-06,1,OMNIDREAM CREATIONS,OMNIDREAM CREATIONS,0,1,89,0.5730337078651685,3.99,65.0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,404.0,0.06,2.0,0.11,2.0,0.07,0.05,0.8333333333333334,-0.039999999999999994,-0.3636363636363636
