index,appid,name,release_date,english,developer,publisher,required_age,achievements,positive_ratings,negative_ratings,ratingpc,price,discount,discount_bin,windows,linux,mac,cat_Multi-player,cat_Online Multi-Player,cat_Single-player,cat_Steam Cloud,cat_Steam Achievements,cat_Steam Trading Cards,cat_Partial Controller Support,cat_Stats,cat_Co-op,cat_Full controller support,cat_Steam Leaderboards,cat_Shared/Split Screen,gen_Action,gen_Adventure,gen_Indie,gen_Strategy,gen_RPG,gen_Simulation,gen_Casual,gen_Early Access,all_time_peak,jun_19_av,jul_19_av,jun_jul_avuplift,jun_jul_avupliftpc
2209,268050,The Evil Within,2014-10-13,1,Tango Gameworks,Bethesda Softworks,18,1,10581,2363,0.8174443757725587,14.99,67.0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4089.0,139.0,193.61,54.610000000000014,0.3928776978417267
2210,268130,Heat Signature,2017-09-21,1,Suspicious Developments,Suspicious Developments,0,1,3247,220,0.9365445630227863,10.99,66.0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,3825.0,168.9,128.85,-40.05000000000001,-0.23712255772646543
2211,268200,Antisquad,2014-05-22,1,InsGames,INSGAMES LIMITED,0,1,149,122,0.5498154981549815,4.99,0.0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,431.0,0.29,0.34,0.050000000000000044,0.17241379310344845
2212,268220,Meltdown,2014-06-05,1,Phenomenon Games,Phenomenon Games,0,1,637,105,0.8584905660377359,3.49,0.0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,158.0,0.27,0.53,0.26,0.9629629629629629
2213,268240,Mechanic Escape,2014-04-15,1,Slak Games,Plug In Digital,0,1,656,99,0.8688741721854305,4.49,75.0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1380.0,0.31,0.29,-0.020000000000000018,-0.06451612903225812
2214,268260,Let's Sing,2014-02-13,1,Voxler Games,Plug In Digital,0,1,63,65,0.4921875,12.99,50.0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,13.0,0.05,0.09,0.039999999999999994,0.7999999999999998
2215,268320,Grapple,2015-03-09,1,Tuesday Society,Midnight City;Majesco Entertainment,0,1,259,22,0.9217081850533808,5.19,0.0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,462.0,0.25,0.4,0.15000000000000002,0.6000000000000001
2216,268340,High Strangeness,2015-05-06,1,Barnyard Intelligence Games;Crystal Labs,Barnyard Intelligence Games,0,1,16,4,0.8,3.99,80.0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,84.0,0.03,0.09,0.06,2.0
2217,268360,Krautscape,2016-02-24,1,Mario von Rickenbach;Playables,Midnight City;Majesco Entertainment,0,1,162,72,0.6923076923076923,5.19,0.0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,18.0,0.04,0.04,0.0,0.0
2218,268400,Panzer Corps,2014-03-12,1,Flashback Games;The Lordz Games Studio,Slitherine Ltd.,0,1,1054,93,0.918918918918919,14.99,80.0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,959.0,386.98,396.5,9.519999999999982,0.024600754560959174
2219,268500,XCOM® 2,2016-02-04,1,Firaxis Games;Feral Interactive (Mac);Feral Interactive (Linux),2K;Feral Interactive (Mac);Feral Interactive (Linux),0,1,28774,7018,0.8039226642825212,34.99,75.0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,132677.0,3859.28,4583.7,724.4199999999996,0.18770858813042837
2221,268540,The Whispered World Special Edition,2014-05-06,1,Daedalic Entertainment,Daedalic Entertainment,0,1,777,267,0.7442528735632183,16.99,90.0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,195.0,9.91,7.56,-2.3500000000000005,-0.23713420787083758
2222,268650,From the Depths,2014-08-07,1,Brilliant Skies Ltd.,Brilliant Skies Ltd.,0,0,3965,525,0.8830734966592427,11.39,0.0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1692.0,226.01,255.24,29.230000000000018,0.12933056059466405
2223,268670,The Memory of Eldurim,2014-02-07,1,Liminal Games,Liminal Games,0,0,107,116,0.4798206278026906,0.79,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,15.0,0.0,0.05,0.05,inf
